,Text,Type
0,"WASHINGTON (Reuters) - Donald Trump on Monday chided the United Nations as “sad,” just days after the U.N. Security Council adopted a resolution demanding an end to Israeli settlements despite pressure by the U.S. president-elect for a veto by Washington. “The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!” Trump said in a post on Twitter. ",1
1,"America is falling in love with Melania Trump. You can t help but notice how Melania lights up every time she is around children. Her trip to a local hospital in Rome was no exception. Melania used her special gift of speaking fluently in 5 languages to speak in Italian to the young patients. Melania shined around the sick children and they responded with smiles. Melania s visit with sick children at the hospital in Rome was captured in this AP video:While the media was busy obsessing over her veil and celebrities ignorantly mocked her modest clothing choice during a trip to the Vatican, the First Lady was busy praying over sick children   and it seems at least one of her prayers may have been answered.In fact, mere hours after Mrs. Trump prayed over a little boy whose heart was failing, doctors told her they had found a donated heart that could end up saving his life. But you won t hear that on your nightly news.After she and her husband, President Donald Trump, visited the Vatican to meet with Pope Francis this week, it came out in the news that Mrs. Trump is, in fact, a practicing Catholic.In their travels to the Holy See, Mrs. Trump also visited a Bambin Ges  Hospital, a Vatican-supported hospital in Rome. There, Melania met with many of the pediatric ward s sick children, taking pictures with them and reading them books before spending some time praying at the hospital chapel, the Daily Mail reported. If that wasn t awesome enough, Mrs. Trump, who s fluent in five languages, also reportedly spoke to the children in their native Italian.The article added she left heartfelt, handwritten messages for the children before she left.But something else very special happened at that hospital   the First Lady also reportedly prayed by the bedside of a little Greek boy who s been waiting on a heart transplant.On Wednesday, just hours after spending time together, FLOTUS tweeted from her official account that she d been told doctors had identified a donor heart for the little boy.  MRCTVA little boy who I visited today & had been waiting for a heart transplant will be receiving one! #Blessings #Faith pic.twitter.com/DZU3ojxXVC  Melania Trump (@FLOTUS) May 24, 2017Melania thanked the doctors and staff for the amazing job they do at the Vatican-supported Bambin Ges  Hospital and asked her 7.2 million followers on Twitter to pray for the patients: Thank you @bambinogesu for the heroic work you do. I ask that everyone keep these amazing children in your thoughts & prayers. pic.twitter.com/UfVAc9lXv2  Melania Trump (@FLOTUS) May 24, 2017The United States is blessed to have a first lady who doesn t just use the church as a backdrop for a photo-op. With the number of people practicing religion in America dropping, it s refreshing to see a first lady, vice president and president who are unafraid to openly and genuinely express their faith to the world ",0
2,"BERNE (Reuters) - Neutral Switzerland is prepared to act as a mediator to help resolve the North Korea crisis, including by hosting ministerial talks, Swiss President Doris Leuthard said on Monday. Leuthard said Swiss troops were deployed on the demarcation zone between South Korea and North Korea and noted that her country - along with Sweden - had a long history of neutral and discreet diplomacy. This has included Switzerland representing U.S. interests in both Iran and Cuba.  But China and the United States had to take their share of responsibility, she added, warning against  over-reactions  after the North s sixth and largest nuclear test. Sanctions  did not change many things  in terms of convincing Pyongyang to abandon its weapons programs, even though its population had suffered, Leuthard said.  I think it really is time for dialogue,  she told a news conference in Berne.  We are ready to offer our role for good services as a mediator. I think in the upcoming weeks a lot will depend on how the U.S. and China can have an influence in this crisis. That s why I think Switzerland and Sweden can have a role behind the curtain.  Part of the task would be to find a suitable location for officials   perhaps the countries  foreign ministers   to meet, she said.  I think that s our role, to look at what kind of possibilities we find. Because, well, Twitter won t be an adequate instrument... This must be very discreet.  Noting that the Communist Party congress in North Korea s neighbor and ally China was due to take place in October,  Leuthard said the time for such initiatives was not ideal, so  perhaps this was also part of the plan of North Korea.  North Korean leader Kim Jong Un spent part of his youth in Berne studying under an assumed name. A framework agreement between North Korea and the United States, under the Clinton administration, was clinched in 1994 in Geneva after long negotiations. The deal by which Pyongyang was to freeze construction of its nuclear reactors, suspected of being part of its covert weapons program, in exchange for two light water nuclear reactors, unraveled in 2003.  North Korea is a worrying situation. We are a small country. Perhaps they could meet in Switzerland to find a political solution, not one with arms,  Leuthard said. ",1
3,"A woman who was born in Nazi Germany says that what reminds her of Hitler more than anything else isn t Donald Trump, but the rioting leftists who are attempting to shut down free speech on college campuses.Ing Andrews lived in Dusseldorf, Germany during the Second World War and spent time hiding in air raid shelters and helping to clean up rubble from destroyed buildings.  InfowarsIf anyone is in a position to have an opinion on the left s hysterical comparison of Donald Trump and Hitler, it s Inga. Here s what she told the Independent Review Journal;For the entire letter go to : IJR",0
4,"At the very beginning of May, Trump s Department of Justice issued an opinion that opened the door for all government agencies to withhold information from Congressional Democrats, even if those Democrats are the ranking members of their respective committees. The opinion was written in such a way that Trump and the DOJ can say,  This will apply to regardless of parties,  but that will just be an excuse.It says, in part: Individual members of Congress, including ranking minority members, do not have the authority to conduct oversight in the absence of a specific delegation by a full house, committee, or subcommittee. They don t? According to acting Assistant Attorney General Curtis Gannon, they don t. His opinion on the matter went on to say: They may request information from the Executive Branch, which may respond at its discretion, but such requests do not trigger any obligation to accommodate congressional needs and are not legally enforceable through a subpoena or contempt proceedings. Wow. They can t even subpoena certain information unless their committee chair does? This is unprecedented. And it s disgusting.The problem is that the committees are all chaired by Republicans right now. So agencies are required to give info to Republicans, but not to Democrats. The ranking Democrats on Congressional committees will have to get their chairpersons to request information.Because of that, both Republicans and Democrats believe this will prevent Congress from carrying out its duties under the Constitution.Rob Portman (R-Ohio) said that, when he headed the Office of Management and Budget under W., he felt it was his responsibility to provide information to whichever member of Congress asked him for it. However, some of Trump s nominees are refusing to do so even though they re being pressed on that in their confirmation hearings. Claire McCaskill (D-Missouri) got angry at Trump s nominee for the OMB, who refused to answer that question.Elijah Cummings (D-Maryland) said,  This is not what democracy looks like. Trump can t stand opposition. That s part of what makes him so dangerous to this country. He can t stand opposition and he can t stand criticism. He can t stand people doing their jobs correctly when those jobs involve doing things he doesn t like. If Democrats are able to get information just by asking for it, then Trump has less control over what happens to it.Congress is already under sustained fire for how little they work and how much time they spend outside of Washington. And Trump s DOJ just made that even worse. One has to wonder if this is his first step in gaining absolute control over the legislative branch.Featured image via Win McNamee/Getty Images",0
5,"BEIJING (Reuters) - China s anti-corruption fight is  always on the road , Communist Party spokesman Tuo Zhen said on Tuesday ahead of a key party congress that will see President Xi Jinping further tighten his grip on power. Tuo made the comment at a briefing before the twice-a-decade meeting opens on Wednesday. ",1
6,"21st Century Wire says Over the past month, more than 12 million declassified documents from the CIA have been reportedly published online. While the intelligence docu-dump supposedly sheds additional light on covert war programs, psychic research and the Cold War era, it also contains more evidence confirming the symbiotic relationship between the CIA and American media. In late January the UK s Guardian reported that the CIA themselves released millions of documents online: The CIA has published more than 12 million pages of declassified documents online, making decades of US intelligence files more easily accessible and searchable.The agency published the roughly 930,000 documents that make up the CIA Records Search Tool (Crest) on Tuesday. The online publication of the files was first reported by BuzzFeed News. Although all of the documents in Crest were part of the public record before Tuesday, they could only be inspected by visiting the National Archives in Maryland in person. Once at the archives, just four computers available only during business hours provided access to Crest. A lawsuit from the open-government nonprofit MuckRock prompted the CIA to make the documents available online. Further pressure to publish the documents came from the transparency advocate and journalist Michael Best, who began steadily scanning and uploading the documents one by one. Continuing, the Guardian reported that the CIA also kept files and documents on media organizations and individual reporters. In 2014, Best from MuckRock, filed a Freedom of Information Act (FOIA) lawsuit in order to get the CIA to post all of its documents online. Along the way, Best reportedly crowd-funded more than $15000 to  print out and then publicly upload the records, one by one, to apply pressure to the CIA. Although some mainstream outlets have been somewhat congratulatory of the CIA, many of the files released remain heavily redacted.In the early 1950 s, the CIA ran a wide-scale program called Operation Mockingbird that was said to have infiltrated the American news media in particular, which propagandized the public through various front organizations, magazines and cultural groups.  THE COMPANY    The Central Intelligence Agency of the United States. (Image Source: zerohedge.com)In recent years, there has been a series of surreal and unreal news stories since the Smith-Mundt Act was effectively rendered obsolete by US lawmakers on July 2nd 2013, as published by RT below: Until earlier this month, a longstanding federal law made it illegal for the US Department of State to share domestically the internally-authored news stories sent to American-operated outlets broadcasting around the globe. All of that changed effective July 2, when the Broadcasting Board of Governors (BBG) was given permission to let US households tune-in to hear the type of programming that has previously only been allowed in outside nations. The Smith-Mundt Act has ensured for decades that government-made media intended for foreign audiences doesn t end up on radio networks broadcast within the US. An amendment tagged onto the National Defense Authorization Act removed that prohibition this year. More from Washington s Blog below  (Photo Illustration 21WIRE s Shawn Helton)Washington s BlogNewly-declassified documents show that a senior CIA agent and Deputy Director of the Directorate of Intelligence worked closely with the owners and journalists of many of the largest media outlets:The United States Senate Select Committee to Study Governmental Operations with Respect to Intelligence Activities found in 1975 that the CIA submitted stories to the American press:Wikipedia adds details:After 1953, the network was overseen by Allen W. Dulles, director of the CIA. By this time, Operation Mockingbird had a major influence over 25 newspapers and wire agencies. The usual methodology was placing reports developed from intelligence provided by the CIA to witting or unwitting reporters. Those reports would then be repeated or cited by the preceding reporters which in turn would then be cited throughout the media wire services.The Office of Policy Coordination (OPC) was funded by siphoning off funds intended for the Marshall Plan [i.e. the rebuilding of Europe by the U.S. after WWII]. Some of this money was used to bribe journalists and publishers.In 2008, the New York Times wrote:During the early years of the cold war, [prominent writers and artists, from Arthur Schlesinger Jr. to Jackson Pollock] were supported, sometimes lavishly, always secretly, by the C.I.A. as part of its propaganda war against the Soviet Union. It was perhaps the most successful use of  soft power  in American history.A CIA operative told Washington Post owner Philip Graham   in a conversation about the willingness of journalists to peddle CIA propaganda and cover stories:You could get a journalist cheaper than a good call girl, for a couple hundred dollars a month.Famed Watergate reporter Carl Bernstein wrote in 1977:More than 400 American journalists   in the past twenty five years have secretly carried out assignments for the Central Intelligence Agency, according to documents on file at CIA headquarters.***In many instances, CIA documents show, journalists were engaged to perform tasks for the CIA with the consent of the managements of America s leading news organizations.***Among the executives who lent their cooperation to the Agency were [the heads of CBS, Time, the New York Times, the Louisville Courier Journal, and Copley News Service. Other organizations which cooperated with the CIA include [ABC, NBC, AP, UPI, Reuters], Hearst Newspapers, Scripps Howard, Newsweek magazine, the Mutual Broadcasting System, the Miami Herald and the old Saturday Evening Post and New York Herald Tribune.***There is ample evidence that America s leading publishers and news executives allowed themselves and their organizations to become handmaidens to the intelligence services.  Let s not pick on some poor reporters, for God s sake,  William Colby exclaimed at one point to the Church committee s investigators.  Let s go to the managements.***The CIA even ran a formal training program in the 1950s to teach its agents to be journalists. Intelligence officers were  taught to make noises like reporters,  explained a high CIA official, and were then placed in major news organizations with help from management.***Once a year during the 1950s and early 1960s, CBS correspondents joined the CIA hierarchy for private dinners and briefings.***Allen Dulles often interceded with his good friend, the late Henry Luce, founder of Time and Life magazines, who readily allowed certain members of his staff to work for the Agency and agreed to provide jobs and credentials for other CIA operatives who lacked journalistic experience.***In the 1950s and early 1960s, Time magazine s foreign correspondents attended CIA  briefing  dinners similar to those the CIA held for CBS.***When Newsweek was purchased by the Washington Post Company, publisher Philip L. Graham was informed by Agency officials that the CIA occasionally used the magazine for cover purposes, according to CIA sources.  It was widely known that Phil Graham was somebody you could get help from,  said a former deputy director of the Agency.  Frank Wisner dealt with him.  Wisner, deputy director of the CIA from 1950 until shortly before his suicide in 1965, was the Agency s premier orchestrator of  black  operations, including many in which journalists were involved. Wisner liked to boast of his  mighty Wurlitzer,  a wondrous propaganda instrument he built, and played, with help from the press.)***In November 1973, after [the CIA claimed to have ended the program], Colby told reporters and editors from the New York Times and the Washington Star that the Agency had  some three dozen  American newsmen  on the CIA payroll,  including five who worked for  general circulation news organizations.  Yet even while the Senate Intelligence Committee was holding its hearings in 1976, according to high level CIA sources, the CIA continued to maintain ties with seventy five to ninety journalists of every description executives, reporters, stringers, photographers, columnists, bureau clerks and members of broadcast technical crews. More than half of these had been moved off CIA contracts and payrolls but they were still bound by other secret agreements with the Agency. According to an unpublished report by the House Select Committee on Intelligence, chaired by Representative Otis Pike, at least fifteen news organizations were still providing cover for CIA operatives as of 1976.***Those officials most knowledgeable about the subject say that a figure of 400 American journalists is on the low side  . There were a lot of representations that if this stuff got out some of the biggest names in journalism would get smeared   .An expert on propaganda testified under oath during trial that the CIA now employs THOUSANDS of reporters and OWNS its own media organizations. Whether or not his estimate is accurate, it is clear that many prominent reporters still report to the CIA.A 4-part BBC documentary called the  Century of the Self  shows that an American   Freud s nephew, Edward Bernays   created the modern field of manipulation of public perceptions, and the U.S. government has extensively used his techniques.More from Washington s Blog here READ MORE PROPAGANDA NEWS AT: 21st Century Wire Propaganda FilesREAD MORE PENTAGON NEWS AT: 21st Century Wire Pentagon FilesSUPPORT 21WIRE by subscribing and becoming a MEMBER @ 21WIRE.TV",0
7,"President Trump is scheduled to deliver a historic speech in Riyadh, Saudi Arabia during the Arab Islamic American Summit. The venue is The King Abdulaziz Conference Center and the scheduled time is approximately 10:00 a.m. EDTThe full speech the president will give should be historic and bold.It s billed as a call to the Muslim world to unite against common enemies and strengthen partnerships. Honestly confronting Islamist extremism Finally!https://www.youtube.com/watch?v=DTw_wMiUGI0President Trump will deliver a great AMERICA FIRST speech that will resonate around the world.SAUDI ARABIA TAKES REAL STEPS TO CONQUER ISIS:Saudi Arabia is taking new steps to counter the messages of Islamic State and other Islamist militant groups online, a senior Saudi official said on Saturday, as U.S. President Donald Trump began a visit to the kingdom.Mohammed al-Issa, secretary-general of the Saudi-based Muslim World League, told reporters the kingdom will open a coordinating center on Sunday in an inauguration ceremony attended by Trump and Saudi King Salman.Saudi Arabia aims to take the fight beyond military action  because we know these groups can only be defeated if we defeat their ideology , he said.Read more: Yahoo ",0
8,"This is just idiotic! A couple of liberal brainiacs decided to steal a Trump sign. The only problem is that they did it in a company truck! Duh!#SaturdayMorning Idiots steal Trump sign IN COMPANY TRUCK!BUSTED: WoW Pool & Lawn Services -Naples, FLVOTE @realDonaldTrump pic.twitter.com/etQ6VzgkrK  John Miller (@cyvault) September 24, 2016 ",0
9,"BRUSSELS (Reuters) - What a difference a year makes. A year ago, Prime Minister Theresa May was pictured standing alone at an EU summit, nervously playing with her sleeve as other leaders embraced and chatted around her - an image that summed up her isolation after Britain voted for Brexit. On Thursday, with the leaders of the other 27 states poised to agree to move Brexit talks forward to the decisive phase of discussing future ties, the 61-year-old was greeted with a show of support, including applause and a round of congratulations during a summit dinner. She needs it: the second phase of talks is likely to be even more difficult than the first and could widen divisions in her government, her party and the country over what Britain should become after Brexit. May also faces an emboldened parliament at home. Rebels in her Conservative Party joined forces with opposition lawmakers to vote against the government on her Brexit blueprint - something they may try to repeat next week when May plans to write Britain s departure date into law. But the change in atmosphere in Brussels improves the chances of a friendlier divorce, reducing the possibility of Britain crashing out without a deal. It may be a change born of necessity. A weakened May could be forced from office and the EU does not want to see a new, possibly hardline negotiator across the table half way through the talks.  She is the best we ve got. She s all we got,  said a senior EU official, comparing her positively with her Brexit minister, David Davis, whose comment that the initial deal was a statement of intent rather than a legal pact annoyed many in the bloc. For many Conservatives too, May is seen as the leading contender for securing Britain s exit in March 2019.  I think the prime minister is certainly far and away best placed to do that,  said British lawmaker and Brexit supporter David Jones, who was moved from his position as a Brexit minister earlier this year.  She s done very well in connection with this first stage of the agreement against the odds ... What she has actually achieved is acceptance on the part of the European Union that not only are we leaving but we can leave without causing a problem to them internally.  ACCIDENT-PRONE May was appointed prime minister shortly after Britain voted 18 months ago to leave the EU and she is committed to honoring that decision and unraveling four decades of EU membership. But the path has not been smooth. After losing her party s majority at a June election, May has been almost unnaturally accident-prone.  An attempt to reassert her authority collapsed in a coughing fit during a speech at a Conservative party conference in October. Last week, a choreographed attempt to seal the deal to move on to the second phase of talks with the EU fell apart after her Northern Irish allies refused to sign off on it. That was when European Commission President Jean-Claude Juncker hailed May as  a tough negotiator , one who  is defending the point of view of Britain with all the energy we know she has . An embarrassing defeat in parliament on Wednesday has underlined her weakness in relying on the support of a small Northern Irish party to pass legislation. But after two failed attempts from within her party to oust her, May has proved many detractors wrong, pushing on with Brexit, which has sapped the government s ability to pursue other policies and will define her time in power.  The government s defeat on the amendment will make our exit more complicated, and there is now an incentive for the EU not to negotiate a good deal,  said Conservative lawmaker John Baron.  However, this process was hardly ever going to be smooth, and we remain on course to honor the referendum result.  So for now, she is carrying her divided party with her. But the agreement to move to phase two, which some Conservatives described as a compromise, has shown some fraying at the edges of the coalition. The key is for her to keep her cabinet ministers on board.  It s a fudge to get to the next stage ... but  Leave  cabinet members have been reassured they will get the Brexit they want,  said a senior Conservative source. That may mean keeping the possibility open of Britain moving away from EU regulations after it leaves, which could worry EU officials.   The British people will be in control,  environment minister Michael Gove said last week.  If the British people dislike the arrangement that we have negotiated with the EU, the agreement will allow a future government to diverge.  ",1
